SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=c1cc(-c2ccccc2)oc2c1ccc1occc12,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beeab0>,DNHP5,UNPD-A
O=C1CCCCO1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beeb20>,Z8GQB,UNPD-A
c1cc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)co1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beeb90>,BABT1,UNPD-A
O=c1cc(-c2ccccc2)c2ccccc2o1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beec00>,KLQBN,UNPD-A
c1ccc(CCCc2ccccc2)cc1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beec70>,PDHNE,UNPD-A
C1CCC2C(C1)CCC1CCCCC12,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beece0>,7WLQT,UNPD-A
c1ccsc1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beed50>,VEIXO,UNPD-A
O=C1c2ccccc2OCC1c1ccccc1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beedc0>,6EYWC,UNPD-A
O=c1oc2ccccc2c2ccccc12,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beee30>,J9RGS,UNPD-A
C=C1CCC2CCCCC2C1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beeea0>,PK6MT,UNPD-A
O=C(C=Cc1ccccc1)NCCc1ccccc1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beef10>,8PBVJ,UNPD-A
C1=CCC2C(C1)CCC1C2CCC2C3CCCCC3CCC21,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beef80>,VI3PH,UNPD-A
O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beeff0>,R41B6,UNPD-A
O=C1CCCc2ccccc21,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef060>,TUKY5,UNPD-A
c1ccc2c3c([nH]c2c1)CNCC3,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef0d0>,3119S,UNPD-A
