SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
c1ccc(CC2=NCCN2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c040>,5RSIT,FDA
C1CCC(OC2CCCOC2)OC1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c0b0>,3DY4O,FDA
C1CNCCN1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c120>,2JBEM,FDA
c1cc(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)co1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c190>,BVQIU,FDA
C=C1c2ccccc2CCc2ccccc21,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c200>,6QBST,FDA
c1ccc(C2CC2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c270>,WSJ9S,FDA
O=C(NC1OC2C3CCCN3C(=O)CN2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c2e0>,08T0Z,FDA
c1ccc2c(c1)CCCO2,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c350>,U88UD,FDA
O=C(CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(Cc1cccnc1)NC(=O)C(Cc1ccccc1)NC(=O)CCc1ccc2ccccc2c1)NCC(=O)N1CCCC1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c3c0>,U7K9V,FDA
c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c430>,6SR3I,FDA
O=C(CNCCCc1ccccc1)N1CCCC1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c4a0>,P93AF,FDA
O=C(Cc1ccccc1)NC1C(=O)N2CC(=CSc3nnn[nH]3)CSC12,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c510>,0AZ9P,FDA
c1ccc2c(c1)CC1NCCC23CCCCC13,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c580>,YNF2E,FDA
O=C(Nc1ccccc1)C1CCCCN1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c5f0>,QKC71,FDA
C1CCNCC1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c660>,CNJRE,FDA
O=c1cc[nH]c2cc(N3CCNCC3)ccc12,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c6d0>,W4208,FDA
O=C(OC1CCCCC1)c1ccccc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c740>,D4T03,FDA
C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c7b0>,45Q2K,FDA
C(CCN1CCNCC1)=C1c2ccccc2Sc2ccccc21,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c820>,SROPQ,FDA
O=C(c1ccccc1)c1coc2ccccc12,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c890>,TLOAU,FDA
O=C1CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCSSCC(C(=O)N2CCCC2)NC(=O)CN1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c900>,W1KSG,FDA
