ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
FDB007037,CCCCCCCCCCCCCCCCCO,FooDB commercially available,1,1,5.850100000000007,20.23,256.4739999999999,1.0,18,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.88235295,0,0
FDB016602,COc1ccc(OC)c(N=Nc2c(O)ccc3ccccc23)c1,FooDB commercially available,5,1,4.978000000000004,63.41,308.33700000000005,0.1111111111111111,23,3,5,4,0,0,3,0,3,0,16,0,0,0,0,0,2,3,0.16,0,0
FDB022716,C=C(CC)C(=O)O,FooDB commercially available,1,1,1.0372,37.3,100.11699999999998,0.4,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.33333334,0,0
FDB022715,Cn1cncc1CCN,FooDB commercially available,3,1,-0.0787000000000001,43.84,125.175,0.5,9,1,3,2,0,0,0,1,1,0,5,0,0,0,0,0,3,0,0.22222222,0,0
FDB022714,Cn1c(=O)[nH]c2ncn(C)c2c1=O,FooDB commercially available,5,1,-1.039700000000001,72.68,180.167,0.2857142857142857,13,2,6,0,0,0,0,2,2,0,5,0,0,0,0,0,4,2,0.0,0,0
FDB012386,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,FooDB commercially available,3,3,2.9738000000000016,60.69,228.247,0.0,17,2,3,2,0,0,2,0,2,0,12,0,0,0,0,0,0,3,0.11111111,0,0
FDB022712,Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,FooDB commercially available,5,2,-1.7464000000000002,92.65,196.166,0.2857142857142857,14,2,7,0,0,0,0,2,2,0,0,0,0,0,0,0,4,3,0.0,0,0
FDB005814,Cc1cccc(C)c1C,FooDB commercially available,0,0,2.611860000000001,0.0,120.195,0.3333333333333333,9,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0.0,0,0
FDB022711,OCCc1c[nH]c2ccc(O)cc12,FooDB commercially available,2,3,1.4083,56.25,177.20299999999995,0.2,13,2,3,2,0,0,1,1,2,0,9,0,0,0,0,0,1,2,0.14285715,0,0
FDB030356,CCC(=O)C(=O)O,FooDB commercially available,2,1,0.0500999999999999,54.370000000000005,102.08899999999998,0.5,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.33333334,0,0
