SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
C1=NCCCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ff40>,RYW17,FooDB purchasable
O=C(Cc1ccccc1)OCc1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50040>,J25L0,FooDB purchasable
C(=Cc1ccccc1)c1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b500b0>,U8P67,FooDB purchasable
c1ccc2c(c1)[nH]c1cnccc12,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50120>,OKCS3,FooDB purchasable
C1=CC(=C(c2ccccc2)c2ccc(NCc3ccccc3)cc2)C=CC1=[NH+]Cc1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50190>,66153,FooDB purchasable
O=C(OCc1ccccc1)c1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50200>,Y4JD5,FooDB purchasable
C1=CCC=CC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50270>,CDGQN,FooDB purchasable
c1ccc2c(c1)[nH]c1ccccc12,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b502e0>,ZSK3G,FooDB purchasable
O=C(Cc1ccccc1)Oc1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50350>,6CI9D,FooDB purchasable
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b503c0>,6KTTK,FooDB purchasable
c1cc2ccc3cccc4ccc(c1)c2c34,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50430>,ATS0D,FooDB purchasable
c1cc2cnccn2c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b504a0>,G7ROU,FooDB purchasable
c1cncc(C2=NCCS2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50510>,3SWPK,FooDB purchasable
c1cc2n(c1)CCC2,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50580>,1KNB2,FooDB purchasable
c1csc(-c2cccs2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b505f0>,AMWKL,FooDB purchasable
c1cncc(C2=NCCC2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50660>,TABLS,FooDB purchasable
c1cnc2c(n1)CCCC2,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b506d0>,XRM9B,FooDB purchasable
